first_name,second_name,goals_scored,assists,minutes,influence,threat,now_cost
Jayden,Luker,0,0,0,0.0,0.0,45
Zack,Nelson,0,0,4,2.0,0.0,45
Daiki,Hashioka,0,0,592,101.4,8.0,40
Axel,Piesold,0,0,0,0.0,0.0,45
Dominic,Dos Santos Martins,0,0,0,0.0,0.0,45
Christian,Chigozie,0,0,0,0.0,0.0,40
Taylan,Harris,0,0,0,0.0,0.0,45
Manuel,Akanji,2,0,2512,536.4,137.0,50
Nathan,Aké,2,3,2039,447.2,249.0,50
Julián,Álvarez,11,11,2644,737.0,992.0,64
Bernardo,Veiga de Carvalho e Silva,6,9,2576,747.4,570.0,62
Oscar,Bobb,1,2,294,105.4,107.0,44
João,Cancelo,0,0,0,0.0,0.0,58
Scott,Carson,0,0,0,0.0,0.0,38
Shea,Charles,0,0,0,0.0,0.0,45
Kevin,De Bruyne,4,10,1219,527.6,406.0,106
Rúben,Gato Alves Dias,0,0,2557,578.4,225.0,55
Ederson,Santana de Moraes,0,0,2785,551.8,0.0,55
Phil,Foden,19,8,2860,1154.8,1172.0,85
Jack,Grealish,3,1,998,240.4,295.0,72
Erling,Haaland,27,8,2553,1094.6,1581.0,143
Mateo,Kovačić,1,0,1539,265.0,129.0,46
Aymeric,Laporte,0,0,11,11.4,17.0,49
Rico,Lewis,2,0,804,148.0,114.0,42
Riyad,Mahrez,0,0,0,0.0,0.0,75
Stefan,Ortega Moreno,0,0,632,171.2,0.0,36
Máximo,Perrone,0,0,0,0.0,0.0,44
Rodrigo,Hernandez,8,10,2931,1043.8,484.0,56
Sergio,Gómez,0,1,48,22.6,10.0,38
Zack,Steffen,0,0,0,0.0,0.0,39
John,Stones,1,0,1061,188.4,70.0,53
Kyle,Walker,0,5,2766,465.4,126.0,55
Matheus Luiz,Nunes,0,2,831,146.0,150.0,47
Joško,Gvardiol,4,2,2327,544.4,389.0,52
Jérémy,Doku,3,10,1585,524.2,875.0,64
Mahamadou,Susoho,0,0,0,0.0,0.0,45
Micah,Hamilton,0,0,0,0.0,0.0,45
Jacob,Wright,0,0,0,0.0,0.0,45
Mason,Mount,1,0,509,105.8,64.0,68
Alex,Telles,0,0,0,0.0,0.0,45
Amad,Diallo,1,1,385,117.0,114.0,44
Antony Matheus,dos Santos,1,1,1311,247.8,347.0,68
Bruno,Borges Fernandes,10,9,3118,1101.6,748.0,85
Brandon,Williams,0,0,0,0.0,0.0,40
Eric,Bailly,0,0,0,0.0,0.0,40
Carlos Henrique,Casimiro,1,3,1981,628.4,323.0,53
Diogo,Dalot Teixeira,2,3,3174,738.6,212.0,52
Christian,Eriksen,1,2,1134,255.4,93.0,58
Álvaro,Fernández Carreras,0,0,0,0.0,0.0,40
Frederico,Rodrigues de Paula Santos,0,0,0,0.0,0.0,50
Alejandro,Garnacho,7,7,2564,527.2,1103.0,50
Hannibal,Mejbri,1,0,131,48.2,13.0,43
Tom,Heaton,0,0,0,0.0,0.0,39
Victor,Lindelöf,1,1,1328,263.8,105.0,45
Harry,Maguire,2,4,1650,493.4,192.0,43
Kobbie,Mainoo,3,1,1927,413.4,134.0,44
Tyrell,Malacia,0,0,0,0.0,0.0,43
Anthony,Martial,1,1,439,67.2,97.0,64
Lisandro,Martínez,0,1,643,144.4,4.0,47
Scott,McTominay,7,1,1891,539.4,492.0,45
Facundo,Pellistri Rebollo,0,1,164,47.0,66.0,42
Raphaël,Varane,1,0,1370,356.2,85.0,49
Marcus,Rashford,7,3,2264,453.2,672.0,84
Jadon,Sancho,0,0,76,9.8,12.0,67
Luke,Shaw,0,1,960,197.2,29.0,52
Shola,Shoretire,0,0,0,0.0,0.0,44
Donny,van de Beek,0,0,2,0.0,6.0,47
Aaron,Wan-Bissaka,0,2,1778,397.8,60.0,44
André,Onana,0,0,3420,1167.8,0.0,50
Rasmus,Højlund,10,2,2156,480.6,648.0,71
Omari,Forson,0,1,67,24.2,4.0,44
Radek,Vítek,0,0,0,0.0,0.0,40
Daniel,Gore,0,0,1,3.0,0.0,45
Altay,Bayindir,0,0,0,0.0,0.0,39
Jonny,Evans,0,1,1389,330.8,21.0,40
Sofyan,Amrabat,0,0,929,159.0,6.0,50
Joe,Hugill,0,0,0,0.0,0.0,45
Willy,Kambwala,0,0,325,53.8,0.0,39
Rhys,Bennett,0,0,0,0.0,0.0,40
Toby,Collyer,0,0,0,0.0,0.0,45
Habeeb,Ogunneye,0,0,0,0.0,0.0,40
Dermot,Mee,0,0,0,0.0,0.0,40
Harry,Amass,0,0,0,0.0,0.0,40
Ethan,Wheatley,0,0,13,2.0,0.0,45
Louis,Jackson,0,0,0,0.0,0.0,40
Lewis,Hall,1,0,773,194.8,85.0,42
Miguel,Almirón Rejala,3,1,1930,299.8,434.0,60
Elliot,Anderson,0,2,1018,187.4,201.0,42
Harrison,Ashby,0,0,0,0.0,0.0,40
Sven,Botman,2,2,1375,386.8,104.0,45
Bruno,Guimarães Rodriguez Moura,7,9,3264,968.4,489.0,58
Dan,Burn,2,2,2725,656.4,286.0,47
Karl,Darlow,0,0,0,0.0,0.0,40
Martin,Dubravka,0,0,1984,661.0,0.0,43
Ryan,Fraser,0,0,0,0.0,0.0,49
Mark,Gillespie,0,0,0,0.0,0.0,39
Anthony,Gordon,11,16,2896,822.6,905.0,64
Isaac,Hayden,0,0,0,0.0,0.0,44
Jeff,Hendrick,0,0,0,0.0,0.0,44
Alexander,Isak,21,4,2253,877.4,1054.0,84
Joelinton Cássio,Apolinário de Lira,2,1,1276,295.2,206.0,58
Emil,Krafth,0,0,909,164.2,28.0,44
Garang,Kuol,0,0,0,0.0,0.0,45
Jamaal,Lascelles,1,0,1077,233.0,69.0,37
Jamal,Lewis,0,0,0,0.0,0.0,40
Sean,Longstaff,6,3,2742,550.0,479.0,48
Javier,Manquillo Gaitán,0,0,0,0.0,0.0,40
Jacob,Murphy,3,8,1184,377.8,270.0,48
Nick,Pope,0,0,1345,323.0,4.0,53
Matt,Ritchie,1,0,120,70.0,106.0,43
Allan,Saint-Maximin,0,0,0,0.0,0.0,60
Fabian,Schär,4,3,3055,826.6,278.0,56
Matt,Targett,0,0,77,9.2,0.0,42
Sandro,Tonali,1,0,437,81.8,50.0,52
Kieran,Trippier,1,10,2235,719.0,102.0,66
Kell,Watts,0,0,0,0.0,0.0,40
Joe,Willock,1,0,415,89.8,106.0,53
Callum,Wilson,9,1,981,366.2,563.0,78
Loris,Karius,0,0,90,31.8,0.0,39
Paul,Dummett,0,0,18,5.2,4.0,39
Harvey,Barnes,5,3,788,279.2,334.0,62
Tino,Livramento,1,0,1302,292.0,96.0,40
Alex,Murphy,0,0,11,2.6,0.0,39
Lewis,Miley,1,3,1203,237.4,136.0,45
Amadou,Diallo,0,0,1,0.0,0.0,45
Ben,Parkinson,0,0,24,2.0,0.0,45
Michael,Ndiweni,0,0,1,0.2,0.0,44
Joe,White,0,0,12,0.8,0.0,45
Travis,Hernes,0,0,0,0.0,0.0,45
Nuno,Varela Tavares,0,0,454,61.8,28.0,40
Matt,Turner,0,0,1530,379.6,0.0,37
Callum,Hudson-Odoi,8,2,1846,489.0,444.0,47
Anthony,Elanga,5,9,2424,536.4,618.0,49
Brandon,Aguilera Zamora,0,0,4,0.0,0.0,45
Harry,Arter,0,0,0,0.0,0.0,43
Serge,Aurier,0,2,831,187.6,45.0,45
Taiwo,Awoniyi,6,3,1036,303.2,308.0,63
Giulian,Biancone,0,0,0,0.0,0.0,39
Willy,Boly,2,1,1437,480.0,200.0,45
Josh,Bowler,0,0,0,0.0,0.0,45
Steve,Cook,0,0,0,0.0,0.0,45
Danilo,dos Santos de Oliveira,2,2,1787,368.0,137.0,53
Emmanuel,Dennis,0,0,0,0.0,0.0,48
Mohamed,Dräger,0,0,0,0.0,0.0,40
Felipe Augusto,de Almeida Monteiro,0,0,372,61.2,18.0,44
Remo,Freuler,0,0,0,0.0,0.0,49
Morgan,Gibbs-White,5,12,3156,703.2,495.0,57
Wayne,Hennessey,0,0,0,0.0,0.0,39
Ethan,Horvath,0,0,0,0.0,0.0,43
Cheikhou,Kouyaté,0,0,206,36.0,25.0,48
Richie,Laryea,0,0,0,0.0,0.0,45
Orel,Mangala,1,0,1562,208.0,44.0,50
Loïc,Mbe Soh,0,0,0,0.0,0.0,40
Scott,McKenna,0,0,416,89.0,17.0,44
Alex,Mighten,0,0,0,0.0,0.0,44
Moussa,Niakhaté,1,0,1456,316.6,55.0,45
Lewis,O'Brien,0,0,0,0.0,0.0,49
Braian,Ojeda Rodríguez,0,0,0,0.0,0.0,45
Jonathan,Panzo,0,0,0,0.0,0.0,40
Omar,Richards,0,0,0,0.0,0.0,44
Gustavo Henrique,Furtado Scarpa,0,0,0,0.0,0.0,45
Jonjo,Shelvey,0,0,0,0.0,0.0,48
Sam,Surridge,0,0,0,0.0,0.0,45
Harry,Toffolo,1,3,1452,355.0,171.0,44
Hwang,Ui-jo,0,0,0,0.0,0.0,44
Neco,Williams,0,1,1630,393.4,139.0,43
Chris,Wood,14,1,1801,598.2,795.0,47
Joe,Worrall,0,0,438,90.0,18.0,43
Ryan,Yates,1,1,1979,330.4,258.0,48
Olu,Aina,1,1,1690,312.0,49.0,45
George,Shelvey,0,0,0,0.0,0.0,39
Josh,Powell,0,0,0,0.0,0.0,39
Gonzalo,Montiel,0,2,796,170.6,32.0,44
Murillo,Santiago Costa dos Santos,0,2,2790,678.4,164.0,45
Odysseas,Vlachodimos,0,0,450,101.8,0.0,45
Andrew,Omobamidele,0,0,782,148.6,16.0,45
Nicolás,Domínguez,2,2,1489,340.4,187.0,50
Ibrahim,Sangaré,0,0,1031,168.8,43.0,49
Divock,Origi,0,1,594,50.4,99.0,50
Jamie,McDonnell,0,0,0,0.0,0.0,45
Detlef Esapa,Osong,0,0,0,0.0,0.0,45
Joe,Gardner,0,0,0,0.0,0.0,45
Giovanni,Reyna,0,1,228,55.0,55.0,46
Matz,Sels,0,0,1440,293.2,0.0,45
Rodrigo,Duarte Ribeiro,0,0,14,1.2,6.0,45
Auston,Trusty,0,0,2568,517.4,106.0,39
Cameron,Archer,4,3,1829,266.0,353.0,42
Mason,Holgate,0,0,711,117.8,19.0,40
James,McAtee,3,4,1815,333.8,333.0,44
Anel,Ahmedhodžić,2,0,2649,568.4,228.0,43
Jordan,Amissah,0,0,0,0.0,0.0,39
George,Baldock,0,2,968,173.6,21.0,38
Chris,Basham,0,0,316,69.2,14.0,39
Jayden,Bogle,3,3,2787,514.4,339.0,45
Rhian,Brewster,0,0,338,21.0,85.0,49
Ismaila,Coulibaly,0,0,0,0.0,0.0,44
Adam,Davies,0,0,0,0.0,0.0,40
John,Egan,0,0,482,91.2,38.0,42
John,Fleck,0,0,89,5.4,2.0,49
Wes,Foderingham,0,0,2648,966.0,0.0,44
Daniel,Jebbison,0,0,20,0.0,4.0,48
Max,Lowe,0,1,498,102.2,18.0,43
Oliver,McBurnie,6,3,1279,377.4,501.0,54
Iliman,Ndiaye,0,0,0,0.0,0.0,55
Rhys,Norrington-Davies,0,0,109,8.2,2.0,39
Oliver,Norwood,1,0,1429,311.2,82.0,48
Ben,Osborn,0,2,1359,191.4,26.0,48
William,Osula,0,1,778,27.0,200.0,42
Jack,Robinson,1,1,2883,602.8,190.0,43
Anis,Slimane,0,0,409,41.6,72.0,47
Yasser,Larouci,0,0,527,80.8,39.0,43
Bénie,Traoré,0,0,383,25.8,31.0,51
Vini,de Souza Costa,1,1,2664,558.4,152.0,50
Femi,Seriki,0,0,0,0.0,0.0,39
Louie,Marsh,0,0,0,0.0,0.0,45
